iter	Passed	Remaining
0	137	136981
1	139	69469
2	142	47266
3	145	36191
4	149	29674
5	152	25293
6	155	22019
7	157	19568
8	160	17667
9	164	16250
10	166	14947
11	168	13906
12	170	12973
13	173	12205
14	175	11500
15	177	10930
16	180	10430
17	182	9965
18	184	9551
19	187	9185
20	190	8879
21	192	8569
22	194	8269
23	196	7981
24	198	7730
25	200	7505
26	202	7289
27	205	7120
28	207	6933
29	209	6771
30	211	6597
31	212	6436
32	214	6294
33	218	6219
34	220	6084
35	222	5953
36	224	5833
37	225	5720
38	227	5608
39	229	5500
40	233	5467
41	235	5373
42	237	5280
43	238	5190
44	240	5111
45	243	5048
46	245	4969
47	246	4894
48	248	4821
49	250	4758
50	252	4694
51	254	4632
52	256	4591
53	258	4537
54	260	4483
55	264	4454
56	272	4507
57	274	4464
58	277	4422
59	281	4417
60	283	4367
61	285	4325
62	287	4282
63	289	4227
64	290	4176
65	291	4126
66	293	4083
67	294	4038
68	296	3998
69	299	3974
70	304	3989
71	308	3970
72	312	3967
73	314	3932
74	316	3898
75	325	3953
76	327	3925
77	330	3905
78	332	3872
79	333	3840
80	335	3811
81	338	3789
82	339	3751
83	341	3723
84	343	3698
85	345	3670
86	351	3693
87	354	3674
88	359	3677
89	367	3711
90	369	3694
91	371	3670
92	374	3647
93	377	3634
94	379	3613
95	381	3595
96	384	3579
97	386	3558
98	388	3533
99	390	3512
100	393	3504
101	396	3487
102	398	3466
103	400	3450
104	402	3429
105	404	3408
106	406	3388
107	407	3368
108	411	3366
109	413	3347
110	416	3332
111	418	3316
112	420	3302
113	423	3293
114	427	3288
115	429	3270
116	430	3249
117	432	3231
118	433	3212
119	435	3193
120	436	3173
121	438	3152
122	440	3138
123	441	3120
124	443	3102
125	444	3084
126	445	3064
127	447	3046
128	448	3029
129	450	3011
130	451	2994
131	452	2977
132	454	2960
133	455	2944
134	457	2929
135	458	2914
136	460	2898
137	461	2882
138	463	2868
139	464	2854
140	467	2845
141	467	2827
142	468	2809
143	469	2792
144	470	2776
145	472	2764
146	474	2750
147	476	2741
148	478	2730
149	480	2724
150	482	2713
151	484	2702
152	485	2690
153	487	2677
154	488	2665
155	490	2653
156	492	2643
157	494	2632
158	495	2621
159	497	2610
160	498	2597
161	499	2586
162	501	2575
163	503	2564
164	504	2553
165	506	2543
166	507	2532
167	509	2522
168	510	2512
169	512	2503
170	515	2496
171	516	2487
172	518	2476
173	519	2466
174	521	2456
175	522	2448
176	524	2438
177	525	2428
178	527	2418
179	528	2409
180	530	2400
181	531	2390
182	533	2381
183	534	2372
184	536	2363
185	538	2355
186	539	2347
187	541	2338
188	543	2330
189	544	2322
190	546	2314
191	547	2305
192	549	2296
193	550	2287
194	552	2278
195	553	2271
196	555	2262
197	556	2254
198	558	2246
199	559	2238
200	561	2230
201	562	2222
202	564	2214
203	565	2206
204	566	2198
205	568	2190
206	569	2183
207	571	2175
208	572	2167
209	574	2160
210	575	2153
211	577	2145
212	578	2138
213	580	2131
214	581	2124
215	583	2116
216	584	2109
217	586	2102
218	587	2095
219	589	2089
220	590	2083
221	592	2076
222	594	2070
223	595	2064
224	597	2058
225	599	2052
226	600	2046
227	602	2039
228	603	2032
229	605	2026
230	606	2019
231	608	2014
232	610	2010
233	612	2004
234	613	1998
235	616	1994
236	618	1990
237	620	1985
238	621	1980
239	623	1974
240	625	1969
241	626	1963
242	628	1958
243	630	1953
244	632	1947
245	633	1942
246	635	1938
247	637	1933
248	639	1928
249	641	1923
250	642	1917
251	644	1912
252	645	1906
253	647	1901
254	649	1896
255	650	1890
256	652	1885
257	654	1882
258	656	1876
259	657	1871
260	659	1866
261	660	1860
262	662	1855
263	663	1850
264	665	1846
265	667	1840
266	668	1835
267	669	1829
268	671	1823
269	672	1819
270	674	1814
271	676	1809
272	677	1804
273	679	1800
274	681	1796
275	683	1792
276	686	1791
277	688	1787
278	690	1785
279	692	1781
280	695	1778
281	696	1774
282	698	1769
283	700	1765
284	702	1761
285	703	1756
286	705	1752
287	706	1747
288	708	1743
289	710	1739
290	712	1734
291	713	1730
292	715	1726
293	717	1722
294	719	1718
295	720	1714
296	722	1709
297	723	1703
298	724	1698
299	725	1693
300	727	1689
301	728	1684
302	730	1679
303	731	1674
304	732	1669
305	733	1664
306	735	1659
307	736	1654
308	738	1650
309	739	1646
310	740	1641
311	742	1636
312	743	1631
313	744	1626
314	746	1622
315	747	1618
316	749	1614
317	750	1610
318	752	1605
319	753	1601
320	755	1597
321	756	1593
322	758	1589
323	760	1585
324	761	1581
325	763	1577
326	764	1573
327	766	1569
328	767	1565
329	769	1562
330	771	1559
331	773	1555
332	775	1552
333	776	1549
334	778	1545
335	780	1541
336	781	1537
337	783	1533
338	784	1530
339	786	1526
340	787	1522
341	789	1518
342	790	1514
343	792	1511
344	794	1508
345	796	1505
346	798	1502
347	799	1498
348	801	1494
349	802	1491
350	804	1487
351	806	1484
352	808	1481
353	810	1478
354	811	1475
355	813	1471
356	814	1467
357	816	1464
358	818	1460
359	819	1457
360	821	1454
361	823	1451
362	825	1448
363	827	1445
364	828	1441
365	830	1438
366	832	1435
367	834	1432
368	836	1431
369	838	1428
370	841	1425
371	842	1422
372	844	1419
373	846	1416
374	848	1413
375	849	1410
376	852	1408
377	853	1405
378	855	1401
379	856	1398
380	858	1394
381	860	1391
382	861	1387
383	862	1384
384	864	1381
385	866	1377
386	867	1374
387	869	1371
388	870	1367
389	872	1364
390	873	1360
391	875	1357
392	876	1354
393	878	1350
394	879	1347
395	881	1343
396	882	1340
397	884	1337
398	885	1334
399	887	1331
400	889	1328
401	890	1324
402	892	1321
403	893	1318
404	895	1315
405	897	1312
406	899	1310
407	900	1307
408	902	1304
409	903	1300
410	905	1297
411	907	1294
412	909	1292
413	911	1290
414	913	1287
415	915	1285
416	916	1282
417	918	1279
418	920	1276
419	923	1274
420	925	1272
421	927	1270
422	929	1267
423	930	1264
424	932	1261
425	933	1258
426	935	1255
427	937	1252
428	939	1250
429	940	1246
430	942	1244
431	944	1241
432	945	1238
433	947	1235
434	949	1233
435	950	1230
436	952	1227
