iter	Passed	Remaining
0	144	144021
1	145	72761
2	147	48854
3	148	36938
4	150	29869
5	151	25117
6	152	21666
7	153	19077
8	154	17062
9	156	15448
10	157	14131
11	158	13031
12	159	12100
13	160	11301
14	161	10609
15	162	10015
16	164	9528
17	166	9058
18	167	8628
19	168	8242
20	169	7895
21	170	7578
22	171	7289
23	172	7022
24	173	6777
25	174	6549
26	175	6339
27	177	6144
28	178	5990
29	180	5832
30	181	5674
31	182	5524
32	183	5383
33	184	5250
34	185	5125
35	186	5007
36	188	4895
37	189	4789
38	190	4688
39	191	4592
40	192	4510
41	194	4436
42	196	4363
43	197	4288
44	198	4213
45	199	4140
46	200	4070
47	201	4002
48	202	3938
49	203	3875
50	205	3816
51	206	3758
52	207	3712
53	209	3663
54	210	3616
55	211	3567
56	212	3519
57	213	3472
58	214	3426
59	215	3383
60	217	3340
61	218	3299
62	219	3259
63	220	3220
64	221	3189
65	223	3159
66	224	3129
67	225	3094
68	226	3061
69	227	3029
70	229	2997
71	230	2967
72	231	2937
73	232	2908
74	233	2879
75	234	2852
76	235	2826
77	237	2808
78	238	2785
79	240	2761
80	241	2736
81	242	2712
82	242	2683
83	244	2661
84	245	2638
85	246	2616
86	247	2594
87	248	2574
88	249	2555
89	250	2534
90	252	2520
91	253	2506
92	255	2487
93	256	2469
94	257	2450
95	258	2432
96	259	2414
97	260	2397
98	261	2380
99	262	2365
100	263	2349
101	265	2334
102	266	2324
103	268	2312
104	269	2298
105	270	2283
106	271	2269
107	272	2254
108	274	2240
109	275	2226
110	276	2212
111	277	2201
112	278	2188
113	279	2175
114	281	2164
115	282	2156
116	283	2143
117	285	2130
118	286	2118
119	287	2106
120	288	2095
121	289	2082
122	290	2071
123	291	2061
124	293	2052
125	294	2043
126	295	2034
127	297	2027
128	299	2019
129	300	2010
130	301	2001
131	303	1992
132	304	1985
133	305	1976
134	307	1968
135	308	1958
136	309	1948
137	310	1941
138	312	1934
139	313	1926
140	314	1918
141	315	1906
142	316	1897
143	317	1889
144	319	1881
145	320	1872
146	321	1863
147	322	1854
148	323	1846
149	324	1838
150	326	1833
151	327	1826
152	328	1819
153	329	1811
154	330	1803
155	331	1796
156	333	1788
157	334	1781
158	335	1773
159	336	1766
160	337	1757
161	338	1749
162	339	1742
163	341	1738
164	342	1733
165	343	1727
166	344	1720
167	345	1713
168	347	1706
169	348	1700
170	349	1693
171	350	1686
172	351	1680
173	352	1673
174	353	1667
175	355	1663
176	356	1659
177	358	1653
178	359	1647
179	360	1641
180	361	1636
181	362	1630
182	363	1624
183	364	1618
184	366	1612
185	367	1606
186	368	1600
187	369	1596
188	371	1593
189	372	1588
190	373	1582
191	375	1579
192	376	1575
193	378	1573
194	380	1570
195	381	1566
196	383	1562
197	385	1560
198	386	1556
199	388	1552
200	389	1547
201	390	1542
202	391	1538
203	393	1534
204	394	1530
205	395	1526
206	397	1520
207	398	1516
208	399	1512
209	401	1508
210	402	1504
211	403	1499
212	404	1495
213	405	1490
214	406	1485
215	407	1480
216	409	1476
217	410	1471
218	411	1466
219	412	1461
220	413	1457
221	415	1454
222	416	1451
223	417	1446
224	418	1442
225	419	1437
226	420	1433
227	422	1429
228	423	1424
229	424	1420
230	425	1415
231	426	1411
232	427	1407
233	429	1404
234	430	1401
235	431	1397
236	432	1393
237	433	1389
238	434	1384
239	436	1380
240	437	1376
241	438	1372
242	439	1368
243	440	1364
244	441	1360
245	442	1356
246	444	1355
247	446	1352
248	447	1348
249	448	1344
250	449	1341
251	450	1337
252	451	1333
253	452	1329
254	453	1325
255	454	1321
256	455	1318
257	457	1314
258	458	1311
259	459	1309
260	461	1306
261	462	1302
262	463	1298
263	464	1295
264	465	1291
265	466	1288
266	467	1284
267	468	1280
268	469	1277
269	471	1274
270	472	1270
271	474	1268
272	475	1266
273	476	1263
274	478	1260
275	479	1256
276	480	1253
277	481	1249
278	482	1246
279	483	1243
280	484	1240
281	486	1238
282	488	1238
283	490	1235
284	491	1232
285	492	1229
286	493	1226
287	494	1222
288	495	1219
289	496	1216
290	497	1213
291	499	1211
292	500	1208
293	502	1205
294	504	1204
295	505	1202
296	506	1199
297	507	1195
298	508	1192
299	509	1189
300	510	1186
301	512	1183
302	513	1181
303	514	1179
304	516	1176
305	517	1174
306	519	1171
307	520	1169
308	521	1166
309	522	1163
310	523	1160
311	524	1157
312	525	1153
313	527	1151
314	528	1148
315	529	1145
316	530	1142
317	531	1139
318	533	1138
319	534	1136
320	535	1133
321	537	1130
322	538	1127
323	539	1124
324	540	1122
325	541	1120
326	543	1118
327	544	1116
328	546	1113
329	547	1112
330	549	1110
331	550	1107
332	551	1104
333	552	1101
334	553	1099
335	554	1096
336	556	1093
337	557	1091
338	558	1088
339	559	1085
340	560	1082
341	562	1081
342	563	1079
343	564	1077
344	565	1074
345	567	1071
346	568	1069
347	569	1066
348	570	1064
349	571	1061
350	572	1058
351	573	1056
352	574	1053
353	575	1050
354	577	1049
355	579	1047
356	580	1045
357	581	1042
358	583	1041
359	584	1038
360	585	1036
361	587	1034
362	588	1032
363	589	1029
364	590	1027
365	592	1026
366	593	1024
367	594	1021
368	596	1019
369	597	1017
370	598	1014
371	599	1012
372	600	1010
373	601	1007
374	603	1005
375	604	1002
376	605	1000
377	606	998
378	608	996
379	609	994
380	610	992
381	611	990
382	613	987
383	614	985
384	615	982
385	616	980
386	617	978
387	618	975
388	619	973
389	621	971
390	623	970
391	624	968
392	625	966
393	626	964
394	627	961
395	629	959
396	630	957
397	631	954
398	632	952
399	633	950
400	634	947
401	635	946
402	637	944
403	638	942
404	639	939
405	640	937
406	641	935
407	642	932
408	643	930
409	645	928
410	646	925
411	647	923
412	648	921
413	649	919
414	651	918
415	652	916
416	653	914
417	655	912
418	656	909
419	657	907
420	658	905
421	659	903
422	660	900
423	661	898
424	662	896
425	663	894
426	665	893
427	667	891
428	668	889
429	669	887
430	670	885
431	671	883
432	672	881
433	673	878
434	674	876
435	676	874
436	677	872
437	678	870
438	680	869
439	681	867
440	683	865
441	684	863
442	685	861
443	686	859
444	687	857
445	688	855
446	689	853
447	690	851
448	692	849
449	693	847
450	695	846
451	696	844
452	697	842
453	698	840
454	699	838
455	701	836
456	702	834
457	703	832
458	704	830
459	705	828
460	706	826
461	707	824
462	709	822
463	711	821
464	712	819
465	713	817
466	714	815
467	715	813
468	716	811
469	717	809
470	718	807
471	720	805
472	721	803
473	722	801
474	723	799
475	724	798
476	726	796
477	727	794
478	728	792
479	729	790
480	731	788
481	732	786
482	733	785
483	734	783
484	735	781
485	736	779
486	737	777
487	739	775
488	741	774
489	742	772
490	743	770
